Sample ID,Taxon,Kingdom/SuperKingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance,Absolute Abundance
MBSMPL0020-16-100,482,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,null,0.032062,332
MBSMPL0020-16-100,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,null,0.005698,59
MBSMPL0020-16-100,null,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,null,null,null,0.03351,347
MBSMPL0020-16-11,1847725,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,null,0.000408,48
MBSMPL0020-16-11,1649484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,null,0.004343,511
MBSMPL0020-16-11,null,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,null,null,null,0.001853,218
MBSMPL0020-16-11,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,null,0.003391,399
MBSMPL0020-16-11,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,null,null,0.1059,12460
MBSMPL0020-16-11,283,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,null,0.001793,211
MBSMPL0020-16-11,286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,null,0.0175,2059
MBSMPL0020-16-11,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,null,0.000068,8
MBSMPL0020-16-11,497,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,null,0.000705,83
MBSMPL0020-16-11,561,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,null,0.000246,29
MBSMPL0020-16-11,590,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,null,0.000484,57
MBSMPL0020-16-11,724,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,null,0.000841,99
MBSMPL0020-16-11,766,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,0.004352,512
MBSMPL0020-16-11,816,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,null,0.004675,550
MBSMPL0020-16-11,838,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,null,0.001445,170
MBSMPL0020-16-11,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.024784,2916
MBSMPL0020-16-11,1243,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,null,0.000994,117
MBSMPL0020-16-11,1269,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,null,0.001683,198
MBSMPL0020-16-11,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.002524,297
MBSMPL0020-16-11,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.003094,364
MBSMPL0020-16-11,1386,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,null,0.000459,54
MBSMPL0020-16-11,1637,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,null,0.000051,6
MBSMPL0020-16-11,1696,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,null,0.001003,118
MBSMPL0020-16-11,1763,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,null,0.009298,1094
MBSMPL0020-16-11,2745,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,null,0.000306,36
MBSMPL0020-16-11,12916,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,null,0.002533,298
MBSMPL0020-16-11,13687,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,null,0.004012,472
MBSMPL0020-16-11,28211,Bacteria,Proteobacteria,Alphaproteobacteria,null,null,null,null,0.001844,217
MBSMPL0020-16-11,31989,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,null,null,0.003995,470
MBSMPL0020-16-11,41275,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,null,0.000238,28
MBSMPL0020-16-11,41297,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,null,null,0.000748,88
MBSMPL0020-16-11,44249,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,null,0.734306,86397
MBSMPL0020-16-11,85013,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,null,null,null,0.000586,69
MBSMPL0020-16-11,85043,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,null,0.000501,59
MBSMPL0020-16-11,114248,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,null,0.019463,2290
MBSMPL0020-16-11,120831,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,null,0.00221,260
MBSMPL0020-16-11,165779,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,null,null,0.000068,8
MBSMPL0020-16-11,201096,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,null,0.000952,112
MBSMPL0020-16-11,238749,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,null,0.000952,112
MBSMPL0020-16-11,501783,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,null,0.002082,245
MBSMPL0020-16-11,660514,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Novispirillum,null,0.000535,63
MBSMPL0020-16-11,1344552,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,null,0.001878,221
MBSMPL0020-16-11,1502725,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Effusibacillus,null,0.00538,633
MBSMPL0020-16-11,1912216,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,null,0.025515,3002
MBSMPL0020-16-12,356,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,null,null,null,0.001952,12
MBSMPL0020-16-12,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,null,null,0.002115,13
MBSMPL0020-16-12,482,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,null,0.012526,77
MBSMPL0020-16-12,543,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,null,null,0.003579,22
MBSMPL0020-16-12,544,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,null,0.018871,116
MBSMPL0020-16-12,561,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,null,0.001952,12
MBSMPL0020-16-12,590,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,null,0.001139,7
MBSMPL0020-16-12,766,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,0.02489,153
MBSMPL0020-16-12,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.026192,161
MBSMPL0020-16-12,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.179437,1103
MBSMPL0020-16-12,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.189686,1166
MBSMPL0020-16-12,1716,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,null,0.002115,13
MBSMPL0020-16-12,1847,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,null,0.013503,83
MBSMPL0020-16-12,2745,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,null,0.006995,43
MBSMPL0020-16-12,38501,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,null,0.05645,347
MBSMPL0020-16-12,41297,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,null,null,0.00911,56
MBSMPL0020-16-12,44249,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,null,0.005368,33
MBSMPL0020-16-12,46913,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,null,0.016593,102
MBSMPL0020-16-12,114248,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,null,0.07158,440
MBSMPL0020-16-12,201096,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,null,0.004555,28
MBSMPL0020-16-12,215579,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,null,0.022775,140
MBSMPL0020-16-12,238749,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,null,0.003416,21
MBSMPL0020-16-12,335928,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,null,null,0.007483,46
MBSMPL0020-16-12,400634,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,null,0.008459,52
MBSMPL0020-16-12,1649484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,null,0.020335,125
MBSMPL0020-16-12,1912216,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,null,0.274443,1687
MBSMPL0020-16-12,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,null,0.014479,89
MBSMPL0020-16-13,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.001515,87
MBSMPL0020-16-13,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.033706,1935
MBSMPL0020-16-13,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.024386,1400
MBSMPL0020-16-13,1378,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,null,0.04069,2336
MBSMPL0020-16-13,1716,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,null,0.027591,1584
MBSMPL0020-16-13,1763,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,null,0.002108,121
MBSMPL0020-16-13,2745,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,null,0.009406,540
MBSMPL0020-16-13,13687,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,null,0.013325,765
MBSMPL0020-16-13,28256,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,null,null,0.002979,171
MBSMPL0020-16-13,41297,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,null,null,0.01566,899
MBSMPL0020-16-13,44249,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,null,0.000714,41
MBSMPL0020-16-13,53335,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,null,0.002874,165
MBSMPL0020-16-13,57494,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,null,0.004233,243
MBSMPL0020-16-13,67575,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera,null,0.000941,54
MBSMPL0020-16-13,91347,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,null,null,null,0.00378,217
